"","V1","V2","V3","V4","V5","V6"
"1",1,4,2,0,0,0
"2",0,6,11,2,1,0
"3",0,0,12,3,13,1
"4",0,3,0,4,8,1
"5",4,7,3,6,13,6
"6",1,1,1,1,4,2
