"","V1","V2","V3","V4","V5"
"1",0,0,0,0,0
"2",0,2.36019806253597,0,0,0
"3",0,0,0,0,2.42233607807812
"4",0,0,0,2.57065239571829,0
"5",0,0,0,0,0
